rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,notes.x,illumina_plate_number,gprep_plate_number,mcmaster_pilot,box_ID,slot_ID,mcmaster_box,mcmaster_slot,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,shipped_to_guelph,area,territory.x,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Chao1,Shannon,Simpson,julian,dominance
KCG30,KCG30,30,2022-03-22,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,2,B2,1,D3,5139739,gab#,22-Mar-22,2022-03-22,spring2022,spring,faeces,y,managed,nylidsberget,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.08872,65.69736,KCG30,193,193,3.284528,0.89750054,81,NA
KCG73,KCG73,73,2022-09-01,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,C5,1,I1,5139752,yabw,01-Sep-22,2022-09-01,fall2022,fall,cloacal swab tip,y,reivo,birken,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.06624,65.78462,KCG73,178,178,1.6440686,0.60972975,244,NA
KCG27,KCG27,27,2022-03-24,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,1,I6,1,C9,5139767,yagg,24-Mar-22,2022-03-24,spring2022,spring,faeces,y,reivo,djay,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.06406,65.79753,KCG27,127,127,2.59036,0.85062521,83,subordinate
KCG119,KCG119,119,2023-03-14,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,D7,2,E2,5139855,yoap,14-Mar-23,2023-03-14,spring2023,spring,faeces,y,managed,akkatop,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.19755,65.65517,KCG119,65,65,1.3240684,0.60325924,73,NA
KCG68,KCG68,68,2022-09-11,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,A7,1,H5,5139873,wpap,11-Sep-22,2022-09-11,fall2022,fall,cloacal swab tip,y,reivo,granmyran,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.16709,65.77498,KCG68,79,79,3.4544827,0.93724708,254,NA
KCG132,KCG132,132,2023-03-27,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G5,2,F6,5139873,wpap,27-Mar-23,2023-03-27,spring2023,spring,cloacal goop,y,reivo,granmyran,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.16709,65.77498,KCG132,85,85,1.8895972,0.70019012,86,dominant
KCG133,KCG133,133,2023-03-27,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G7,2,F7,5139873,wpap,27-Mar-23,2023-03-27,spring2023,spring,cloacal swab tip,y,reivo,granmyran,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.16709,65.77498,KCG133,35,35,2.2830466,0.7661144,86,NA
KCG61,KCG61,61,2022-07-23,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,G6,1,G7,5142106,cyap,23-Jul-22,2022-07-23,summer2022,summer,faeces,y,reivo,basilika,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.07787,65.79812,KCG61,90,90,3.5019957,0.94530374,204,NA
KCG93,KCG93,93,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,B6,2,B3,5142107,ggas,19-Sep-22,2022-09-19,fall2022,fall,cloacal swab tip,y,reivo,take5,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.1017,65.7952,KCG93,26,26,2.1314907,0.77260981,262,NA
KCG120,KCG120,120,2023-03-17,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,D8,2,E3,5142144,mamw,17-Mar-23,2023-03-17,spring2023,spring,cloacal swab tip,y,managed,maskapie,2020,breeder,adult,adult,f,Perisoreus infaustus,19.19712,65.67529,KCG120,38,38,1.6103812,0.63824332,76,subordinate
KCG81,KCG81,81,2022-08-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F9,1,I9,5142147,pwma,25-Aug-22,2022-08-25,fall2022,fall,cloacal swab tip,y,managed,knott,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.23334,65.68531,KCG81,12,12,2.2597654,0.87268698,237,NA
KCG88,KCG88,88,2022-08-07,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H2,2,A7,5142148,magy,07-Aug-22,2022-08-07,fall2022,fall,cloacal swab tip,y,managed,tjarnatjarn,2020,non-breeder,adult,adult,NA,Perisoreus infaustus,19.2276,65.65862,KCG88,56,56,0.9854054,0.32450621,219,NA
KCG29,KCG29,29,2022-03-20,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,1,I8,1,D2,5142164,magb,20-Mar-22,2022-03-20,spring2022,spring,faeces,y,reivo,laxtjarn,2019,breeder,adult,adult,NA,Perisoreus infaustus,19.11516,65.80213,KCG29,325,325,4.3953521,0.96970271,79,subordinate
KCG130,KCG130,130,2023-03-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G2,2,F4,5142205,yars,25-Mar-23,2023-03-25,spring2023,spring,cloacal goop,y,managed,ostraguortes,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.09834,65.69105,KCG130,66,66,1.8211729,0.77117708,84,NA
KCG131,KCG131,131,2023-03-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G4,2,F5,5142205,yars,25-Mar-23,2023-03-25,spring2023,spring,cloacal swab tip,y,managed,ostraguortes,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.09834,65.69105,KCG131,39,39,1.3132569,0.59330567,84,NA
KCG128,KCG128,128,2023-03-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F8,2,F2,5142275,arsm,22-Mar-23,2023-03-22,spring2023,spring,cloacal goop,y,reivo,madervagen,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.01987,65.78256,KCG128,55,55,2.2282457,0.80428793,81,dominant
KCG129,KCG129,129,2023-03-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G1,2,F3,5142275,arsm,22-Mar-23,2023-03-22,spring2023,spring,cloacal swab tip,y,reivo,madervagen,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.01987,65.78256,KCG129,71,71,0.6809363,0.22986698,81,NA
KCG36,KCG36,36,2022-03-09,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,2,C5,1,D9,5142727,omca,22-Mar,2022-03-22,spring2022,spring,faeces,y,managed,dyrasmyran,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.16874,65.66895,KCG36,63,63,1.6430519,0.69915753,81,dominant
KCG107,KCG107,107,2022-08-06,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H4,2,C8,5142754,ppca,06-Aug-22,2022-08-06,fall2022,fall,cloacal swab tip,y,reivo,basilika,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.07787,65.79812,KCG107,123,123,3.1950376,0.84931668,218,NA
KCG34,KCG34,34,2022-03-01,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,2,C2,1,D7,5142756,rwas,22-Mar,2022-03-22,spring2022,spring,faeces,y,reivo,guorbaive,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.06631,65.8052,KCG34,107,107.5,1.4134396,0.5214538,81,subordinate
KCG26,KCG26,26,2022-03-15,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,1,I4,1,C8,5142762,ryca,15-Mar,2022-03-15,spring2022,spring,faeces,y,managed,nyaguortes,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.14671,65.67941,KCG26,141,141.125,1.3155014,0.45803984,74,NA
KCG59,KCG59,59,2022-07-22,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,F7,1,G5,5142768,cgba,22-Jul-22,2022-07-22,summer2022,summer,faeces,y,reivo,impossible,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.08686,65.78145,KCG59,159,159,0.4956309,0.18898113,203,NA
KCG62,KCG62,62,2022-07-23,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,H3,1,G8,5142769,bcca,23-Jul-22,2022-07-23,summer2022,summer,faeces,y,reivo,baggins,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.08926,65.78958,KCG62,50,50,0.4684099,0.16184234,204,subordinate
KCG92,KCG92,92,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,B4,2,B2,5142771,bsca,19-Sep-22,2022-09-19,fall2022,fall,cloacal goop,y,reivo,take5,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1017,65.7952,KCG92,70,70,2.6407783,0.86936677,262,NA
KCG135,KCG135,135,2023-03-29,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H1,2,F9,5142773,prca,29-Mar-23,2023-03-29,spring2023,spring,cloacal goop,y,managed,ragangen,2021,breeder,adult,adult,NA,Perisoreus infaustus,19.12972,65.67143,KCG135,32,32,1.3990685,0.65453589,88,NA
KCG35,KCG35,35,2022-03-01,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,2,C3,1,D8,5142775,brca,22-Mar,2022-03-22,spring2022,spring,faeces,y,reivo,guorbatop,2021,breeder,adult,adult,NA,Perisoreus infaustus,19.07644,65.8127,KCG35,371,371,2.4829602,0.77230886,81,NA
KCG91,KCG91,91,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,A8,2,B1,5142779,gag#,19-Sep-22,2022-09-19,fall2022,fall,cloacal swab tip,y,reivo,take5,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.1017,65.7952,KCG91,57,57,1.2526662,0.53362349,262,NA
KCG125,KCG125,125,2023-03-21,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F3,2,E8,5142782,yao(m),21-Mar-23,2023-03-21,spring2023,spring,cloacal goop,y,managed,knott,2019,breeder,adult,adult,NA,Perisoreus infaustus,19.23334,65.68531,KCG125,67,67,1.7775283,0.75084678,80,subordinate
KCG126,KCG126,126,2023-03-21,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F5,2,E9,5142782,yao(m),21-Mar-23,2023-03-21,spring2023,spring,cloacal swab tip,y,managed,knott,2019,breeder,adult,adult,NA,Perisoreus infaustus,19.23334,65.68531,KCG126,50,50,2.4331765,0.7961842,80,NA
KCG103,KCG103,103,2022-09-20,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,F7,2,C4,5142799,ymca,20-Sep-22,2022-09-20,fall2022,fall,faeces,y,reivo,frasses,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.14555,65.77938,KCG103,80,80,3.1985501,0.92792733,263,NA
KCG94,KCG94,94,2022-09-19,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,B9,2,B4,5142810,gago,19-Sep-22,2022-09-19,fall2022,fall,faeces,y,reivo,laxtjarn,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11516,65.80213,KCG94,147,147,2.2267993,0.77829768,262,subordinate
KCG75,KCG75,75,2022-08-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,D7,1,I3,5142818,obca,19-Aug-22,2022-08-19,fall2022,fall,cloacal swab tip,y,managed,tjaltmyran,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.10497,65.70044,KCG75,79,79,2.0837311,0.77808369,231,dominant
KCG121,KCG121,121,2023-03-19,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,E2,2,E4,5142819,gab#,19-Mar-23,2023-03-19,spring2023,spring,faeces,y,reivo,spang,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.095,65.80376,KCG121,82,82,1.8644941,0.70254948,78,subordinate
KCG122,KCG122,122,2023-03-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,E3,2,E5,5142819,gab#,19-Mar-23,2023-03-19,spring2023,spring,cloacal goop,y,reivo,spang,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.095,65.80376,KCG122,73,73,1.5070585,0.60556249,78,subordinate
KCG123,KCG123,123,2023-03-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,E4,2,E6,5142819,gab#,19-Mar-23,2023-03-19,spring2023,spring,cloacal swab tip,y,reivo,spang,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.095,65.80376,KCG123,61,61,0.9961173,0.35977525,78,subordinate
KCG70,KCG70,70,2022-09-12,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,B5,1,H7,5142820,gawc,12-Sep-22,2022-09-12,fall2022,fall,cloacal swab tip,y,reivo,spang,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.095,65.80376,KCG70,152,152,2.2933455,0.79102449,255,NA
KCG104,KCG104,104,2022-09-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G2,2,C5,5142821,pbca,25-Sep-22,2022-09-25,fall2022,fall,cloacal swab tip,y,reivo,oldmabuse,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1863,65.76023,KCG104,55,55,1.830188,0.73653695,268,NA
KCG102,KCG102,102,2022-09-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,E5,2,C3,5142822,goca,22-Sep-22,2022-09-22,fall2022,fall,cloacal swab tip,y,reivo,oldmabuse,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1863,65.76023,KCG102,14,14,2.2530329,0.85849216,265,NA
KCG105,KCG105,105,2022-09-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G4,2,C6,5142823,gay#,25-Sep-22,2022-09-25,fall2022,fall,cloacal swab tip,y,reivo,oldmabuse,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.1863,65.76023,KCG105,104,104,2.4330049,0.86805355,268,NA
KCG69,KCG69,69,2022-09-11,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,A9,1,H6,5142824,rssa,11-Sep-22,2022-09-11,fall2022,fall,faeces,y,reivo,granmyran,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.16709,65.77498,KCG69,118,118,2.0255584,0.78729192,254,NA
KCG57,KCG57,57,2022-06-27,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,F4,1,G3,5142825,gaco,27-Jun-22,2022-06-27,summer2022,summer,faeces,y,reivo,granmyran,2022,non-breeder,juvenile,fledgling,NA,Perisoreus infaustus,19.16709,65.77498,KCG57,52,52,1.4014521,0.50365214,178,subordinate
KCG66,KCG66,66,2022-09-11,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,A2,1,H3,5142825,gaco,11-Sep-22,2022-09-11,fall2022,fall,faeces,y,reivo,granmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16709,65.77498,KCG66,176,176,1.9824558,0.66010548,254,subordinate
KCG95,KCG95,95,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,C3,2,B5,5142828,gap#,19-Sep-22,2022-09-19,fall2022,fall,cloacal swab tip,y,reivo,fello,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.04327,65.81245,KCG95,195,195,2.4940701,0.70984966,262,NA
KCG60,KCG60,60,2022-07-22,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,G2,1,G6,5142829,garw,22-Jul-22,2022-07-22,summer2022,summer,faeces,y,reivo,fyra,2022,non-breeder,juvenile,fledgling,NA,Perisoreus infaustus,19.11062,65.77557,KCG60,26,26,2.6547066,0.89632534,203,NA
KCG64,KCG64,64,2022-07-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H7,1,H1,5142831,o#ya,24-Jul-22,2022-07-24,summer2022,summer,cloacal goop,y,reivo,metro,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1807,65.76973,KCG64,441,441,2.6666105,0.64276325,205,dominant
KCG65,KCG65,65,2022-07-24,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,H9,1,H2,5142831,o#ya,24-Jul-22,2022-07-24,summer2022,summer,faeces,y,reivo,metro,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1807,65.76973,KCG65,347,347,1.4861942,0.43441608,205,NA
KCG97,KCG97,97,2022-08-05,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,D4,2,B7,5142831,o#ya,05-Aug-22,2022-08-05,fall2022,fall,cloacal swab tip,y,reivo,metro,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1807,65.76973,KCG97,59,59,1.6500615,0.61840872,217,NA
KCG110,KCG110,110,2022-08-02,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,I1,2,D2,5142833,gaoy,02-Aug-22,2022-08-02,fall2022,fall,cloacal swab tip,y,reivo,lagerplats,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.12373,65.77143,KCG110,11,11,2.3474337,0.90022676,214,dominant
KCG96,KCG96,96,2022-08-05,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,D3,2,B6,5142835,gass,05-Aug-22,2022-08-05,fall2022,fall,faeces,y,reivo,metro,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.1807,65.76973,KCG96,124,124,2.2050869,0.65744412,217,subordinate
KCG63,KCG63,63,2022-07-23,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,H5,1,G9,5142836,gabs,23-Jul-22,2022-07-23,summer2022,summer,faeces,y,reivo,baggins,2022,non-breeder,juvenile,fledgling,NA,Perisoreus infaustus,19.08926,65.78958,KCG63,253,253,1.1000429,0.29117964,204,subordinate
KCG78,KCG78,78,2022-08-31,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F1,1,I6,5142839,camg,31-Aug-22,2022-08-31,fall2022,fall,cloacal swab tip,y,managed,nylidsberget,2021,breeder,adult,adult,NA,Perisoreus infaustus,19.08872,65.69736,KCG78,223,223,2.6457186,0.68087462,243,subordinate
KCG31,KCG31,31,2022-03-29,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,2,B4,1,D4,5142840,mssa,29-Mar-22,2022-03-29,spring2022,spring,faeces,y,managed,saketorp,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.22588,65.67573,KCG31,102,102,1.1793311,0.42158931,88,dominant
KCG127,KCG127,127,2023-03-21,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F6,2,F1,5142840,mssa,21-Mar-23,2023-03-21,spring2023,spring,cloacal goop,y,managed,saketorp,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.22588,65.67573,KCG127,99,99,2.4731147,0.77780934,80,dominant
KCG25,KCG25,25,2022-03-26,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,1,I3,1,C7,5142844,opra,26-Mar-22,2022-03-26,spring2022,spring,faeces,y,reivo,reivosjo,NA,NA,adult,adult,NA,Perisoreus infaustus,19.12591,65.76324,KCG25,118,118,1.6039195,0.70535032,85,NA
KCG98,KCG98,98,2022-09-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,D6,2,B8,5142846,gagr,20-Sep-22,2022-09-20,fall2022,fall,cloacal swab tip,y,reivo,trea,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10231,65.78373,KCG98,84,84,2.0035032,0.80124619,263,subordinate
KCG99,KCG99,99,2022-09-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,D8,2,B9,5142847,agcb,20-Sep-22,2022-09-20,fall2022,fall,cloacal swab tip,y,reivo,trea,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10231,65.78373,KCG99,51,51,1.794784,0.70816234,263,NA
KCG100,KCG100,100,2022-09-20,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,D9,2,C1,5142847,agcb,20-Sep-22,2022-09-20,fall2022,fall,faeces,y,reivo,trea,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10231,65.78373,KCG100,66,66,1.8544637,0.7192292,263,NA
KCG101,KCG101,101,2022-09-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,E3,2,C2,5142849,gawp,20-Sep-22,2022-09-20,fall2022,fall,cloacal swab tip,y,reivo,trea,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10231,65.78373,KCG101,39,39,1.3354777,0.59935337,263,NA
KCG58,KCG58,58,2022-07-22,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,F5,1,G4,5142850,opma,22-Jul-22,2022-07-22,summer2022,summer,faeces,y,reivo,impossible,NA,non-breeder,adult,adult,NA,Perisoreus infaustus,19.08686,65.78145,KCG58,40,40,0.1588204,0.04339779,203,dominant
KCG106,KCG106,106,2022-08-06,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H2,2,C7,5142852,gaog,06-Aug-22,2022-08-06,fall2022,fall,cloacal swab tip,y,reivo,basilika,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.07787,65.79812,KCG106,13,13,2.3698553,0.89190947,218,NA
KCG115,KCG115,115,2022-08-06,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,B3,2,D7,5142854,gayy,06-Aug-22,2022-08-06,fall2022,fall,cloacal goop,y,managed,ostraguortes,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.09834,65.69105,KCG115,352,352,2.0179699,0.57067308,218,NA
KCG79,KCG79,79,2022-08-07,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F2,1,I7,5142858,mamc,07-Aug-22,2022-08-07,fall2022,fall,cloacal swab tip,y,managed,tjarnatjarn,NA,non-breeder,adult,adult,NA,Perisoreus infaustus,19.2276,65.65862,KCG79,12,12,2.3381347,0.89108033,219,NA
KCG112,KCG112,112,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,I8,2,D4,5142865,papy,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,y,reivo,fello,NA,breeder,adult,adult,NA,Perisoreus infaustus,19.04327,65.81245,KCG112,85,85,2.6795126,0.84419858,230,NA
